"Report Refresh Date","User Principal Name","Display Name","Is Deleted","Deleted Date","Created Date","Last Activity Date","Item Count","Storage Used (Byte)","Issue Warning Quota (Byte)","Prohibit Send Quota (Byte)","Prohibit Send/Receive Quota (Byte)","Deleted Item Count","Deleted Item Size (Byte)","Deleted Item Quota (Byte)","Has Archive","Recipient Type","Report Period"
"2023-04-03","F2D8ACD4EA4E0A3844833738C872B28A","A201E15380AD763A37A0FE98DFB19B85","False","","2022-09-05","2023-03-31","390","34466101","105226698752","106300440576","107374182400","53","306530","32212254720","False","User","30"
"2023-04-03","D6C8A4A1F943A83EF92F8E856C49C86A","F08EC2963D68694A5ADA9447F1BD0263","False","","2022-08-13","","197","13795350","105226698752","106300440576","107374182400","7","50110","32212254720","False","User","30"
"2023-04-03","778258ACF92E66BC3FD0B7550FAA782A","904EFBE27F48320A165BC700982A6E8C","False","","2022-08-13","2022-08-14","17","777950","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","8B8744480CEF4ED97491E86DE5DC91B2","2236A6E43D08F619FE695DF3B163A32F","False","","2022-08-13","","10","99925","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","84AA57313774D5325672EF74D6CB6BB7","24589499045E94C4FF5C4A681A467937","False","","2022-08-13","2022-08-14","21","902704","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","F15DB16FC0F3D8A52836A62AEF3DBACF","3185DE8318D12883DCDCB661538B2123","False","","2022-08-13","2022-08-14","22","913632","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","FCA69B07D8AAD37DB97814B2272C3EB5","9A1DBB34C5A4979D22030C699F6740AF","False","","2022-08-13","","10","94289","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","EDA63F790F4D66804684104743666661","E5A6419DBF525CA2040A04CC9DA860DF","False","","2022-08-13","2022-08-14","17","795310","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","FC43E83CD0EE55E5AEB61FB644DDDD7E","2352592493D36BA883FCB25A3789684F","False","","2022-08-13","2022-08-14","19","829211","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","E2EB2374C0DBB607C2982DF10C4C1CEF","C1403AC6C3CE2B07EC09382CF6C82159","False","","2022-08-13","","10","86592","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","BD63C7C582C8B8FB28AD480B9C5ECEEE","55F1D13D475D53DD4FA55E740CDD4032","False","","2022-08-13","","10","109423","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","D3BA5C4F9ADF88DCF674AD42878B8C5E","7940370160B45F5E8EDF61FF87FB8724","False","","2022-08-13","2022-08-14","16","819276","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","E32423593027BA8E96B973F229A042F6","6AD091A29C64D652E668A10BE14E5572","False","","2022-08-13","","10","99425","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","ACDC1B6D63215A8C49AE2E4513238895","498B318F69F660B104C182EC5730F64B","False","","2022-08-13","","10","110776","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","E419666B6ECD10E8B89259E59A75945F","CB317878500962B662D86200C37E05A8","False","","2022-08-13","","10","91207","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","E8C99C503E83E4D1AA4D67440B860F77","3A238F5AD8A144636FDB9F754C0A31EB","False","","2022-08-13","","10","89105","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","3647055A449C5559A5DC7098E958ED10","EC0FCCDD7C1CAAE3463EF4020E325E41","False","","2022-08-13","","10","113249","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
"2023-04-03","DE4EAB7B84070FEB973509C36AAAA628","B72E8FD7AD10BF32581C4E0D06485DF0","False","","2022-08-13","2022-08-14","16","796020","105226698752","106300440576","107374182400","0","0","32212254720","False","User","30"
